Features,Lags,RMSE,Relative_RMSE
2,9,0.0017294340254425942,1511.16
3,10,0.0017640465752622122,1541.41
4,17,0.0026669710114220883,2330.37
5,13,0.0014529727833683282,1269.59
6,13,0.0013726753926005,1199.43
7,13,0.0014102194374305478,1232.24
8,12,0.0020456586290927693,1787.48
9,11,0.002065248858324948,1804.60
10,17,0.0032837672882796206,2869.33
11,17,0.002950723842698275,2578.31
12,17,0.0027223366220578147,2378.75
13,17,0.0023978996317057704,2095.26
14,17,0.0019752732737785177,1725.98
2,4,0.0015521363358766067,1356.24
3,4,0.0016620939126613158,1452.32
4,4,0.0016857348928697243,1472.98
5,4,0.0017323016338611007,1513.67
6,4,0.0016532231827194048,1444.57
7,4,0.001691433771501658,1477.96
8,4,0.0016389847034206076,1432.13
9,4,0.001666488248739365,1456.16
10,4,0.0018013470691249872,1574.00
11,4,0.0015954096333592113,1394.05
12,4,0.001627217233172751,1421.85
13,4,0.0016637791720575986,1453.79
14,4,0.0015923752453303533,1391.40
2,13,0.0017958769571615428,1569.22
3,13,0.0018525492991281734,1618.74
4,13,0.001744889459475306,1524.67
5,13,0.0014529727833683282,1269.59
6,13,0.0013726753926005,1199.43
7,13,0.0014102194374305478,1232.24
8,13,0.0016807725802055354,1468.64
9,13,0.0015678003034191924,1369.93
10,13,0.0013728298026409705,1199.57
11,13,0.0013800569581226437,1205.88
12,13,0.001036687824105945,905.85
13,13,0.0014413855947595102,1259.47
14,13,0.0014265919864613593,1246.54
14,1,0.0016908541826408123,1477.45
14,2,0.001528764363118081,1335.82
14,3,0.001494775941618236,1306.12
14,4,0.0015923752453303533,1391.40
14,5,0.0016533021900908011,1444.64
14,6,0.0012170515192930804,1063.45
14,7,0.001039956632774217,908.70
14,8,0.0018675766560265086,1631.87
14,9,0.0019304332916961608,1686.79
14,10,0.001757836267661785,1535.98
14,11,0.0014642140701194362,1279.42
14,12,0.0015017933478139846,1312.25
14,13,0.0014265919864613593,1246.54
14,14,0.00190850037444391,1667.63
14,15,0.0016173001922537452,1413.18
12,1,0.0017574408609985456,1535.64
12,2,0.0016419478645555213,1434.72
12,3,0.001534384966786255,1340.73
12,4,0.001627217233172751,1421.85
12,5,0.0017524101062238498,1531.24
12,6,0.0013527031391235714,1181.98
12,7,0.0012298811047989778,1074.66
12,8,0.0018873357506834624,1649.14
12,9,0.0018969638673501437,1657.55
12,10,0.0019744744034983783,1725.28
12,11,0.0018895016058653896,1651.03
12,12,0.0017288117597526905,1510.62
12,13,0.001036687824105945,905.85
12,14,0.0023680797604930526,2069.21
12,15,0.0030790532372655566,2690.45
2,1,0.0016035531707834525,1401.17
2,2,0.0017402249159016079,1520.59
2,3,0.0016606364671919106,1451.05
2,4,0.0015521363358766067,1356.24
2,5,0.0015027705762128757,1313.11
2,6,0.001407808625962766,1230.13
2,7,0.0014922786328944494,1303.94
2,8,0.0017297164687111127,1511.41
2,9,0.0017294340254425942,1511.16
2,10,0.0016509518547216972,1442.59
2,11,0.0017058040588987995,1490.52
2,12,0.001795122846130864,1568.56
3,1,0.0016097195303150212,1406.56
3,2,0.001753398559423068,1532.10
3,3,0.0017047519441876246,1489.60
3,4,0.0016620939126613158,1452.32
3,5,0.001619417689276652,1415.03
3,6,0.0015157686421558444,1324.46
3,7,0.001592574264596783,1391.58
3,8,0.001754655534843498,1533.20
3,9,0.0017716984399259407,1548.09
3,10,0.0017640465752622122,1541.41
3,11,0.0018586863026269801,1624.10
3,12,0.0019109501418812674,1669.77
3,13,0.0018525492991281734,1618.74
4,1,0.0016100343672326865,1406.83
4,2,0.0017819308856959863,1557.03
4,3,0.0016969983209563716,1482.82
4,4,0.0016857348928697243,1472.98
4,5,0.0015729639047994339,1374.44
4,6,0.0014161387152537772,1237.41
4,7,0.001439396617266133,1257.73
4,8,0.0016432577316253655,1435.86
4,9,0.0016635976679710482,1453.64
4,10,0.0016892143520500435,1476.02
4,11,0.0018394491123560229,1607.29
4,12,0.0018675073516151823,1631.81
4,13,0.001744889459475306,1524.67
4,14,0.00201840119086758,1763.66
4,15,0.002238877334275167,1956.31
4,16,0.002588547298269799,2261.85
4,17,0.0026669710114220883,2330.37
4,18,0.002640884200207993,2307.58
4,19,0.0026815084954020917,2343.08
4,20,0.0027171074357837006,2374.18
5,1,0.0017483183552516376,1527.66
5,2,0.0019118988211903939,1670.60
5,3,0.001758937281086297,1536.94
5,4,0.0017323016338611007,1513.67
5,5,0.0016232718195134822,1418.40
5,6,0.001444330921060249,1262.04
5,7,0.0013853371633685326,1210.49
5,8,0.0015922098140947515,1391.26
5,9,0.0015016741732852379,1312.15
5,10,0.0015335419676770715,1339.99
5,11,0.0016348548627934446,1428.52
5,12,0.0016835989736297971,1471.11
5,13,0.0014529727833683282,1269.59
5,14,0.0017537248041204138,1532.39
5,15,0.0021159172397749396,1848.87
5,16,0.002517654342149775,2199.90
6,1,0.0016829497082704453,1470.55
6,2,0.001809597965650757,1581.21
6,3,0.0016622762476607566,1452.48
6,4,0.0016532231827194048,1444.57
6,5,0.0016250296983569888,1419.94
6,6,0.0014650580808506161,1280.15
6,7,0.0014200498258769695,1240.83
6,8,0.001582690617791364,1382.94
6,9,0.0014788733007320325,1292.23
6,10,0.001571641884037487,1373.29
6,11,0.001577487473901133,1378.39
6,12,0.0015898393629548131,1389.19
6,13,0.0013726753926005,1199.43
6,14,0.0017708672680659268,1547.37
6,15,0.002324253700658813,2030.91
6,16,0.0025155924238609148,2198.10
7,1,0.0016532809853213445,1444.62
7,2,0.0018000716195281567,1572.89
7,3,0.0017151209593936694,1498.66
7,4,0.001691433771501658,1477.96
7,5,0.0016267867754607894,1421.47
7,6,0.001430713197854354,1250.14
7,7,0.0013257729587622055,1158.45
7,8,0.0017842898688330124,1559.10
7,9,0.0016662572521507087,1455.96
7,10,0.0016887035603843574,1475.57
7,11,0.0017354148148897163,1516.39
7,12,0.001709564570882612,1493.80
7,13,0.0014102194374305478,1232.24
7,14,0.0020436997058133235,1785.77
7,15,0.0026914458365135587,2351.76
7,16,0.0030399734489187863,2656.30
8,1,0.0016575243035143524,1448.33
8,2,0.0017831350171965492,1558.09
8,3,0.0016855703697254826,1472.84
8,4,0.0016389847034206076,1432.13
8,5,0.00164752282872609,1439.59
8,6,0.0016669748726764134,1456.59
8,7,0.0015946759720855683,1393.41
8,8,0.002228079045869307,1946.87
8,9,0.002184392808671481,1908.70
8,10,0.0021562923235954904,1884.15
8,11,0.0021583680895759763,1885.96
8,12,0.0020456586290927693,1787.48
8,13,0.0016807725802055354,1468.64
8,14,0.002314014820470064,2021.96
8,15,0.003033391213268934,2650.55
9,1,0.0017248543536876725,1507.16
9,2,0.0017344426875554612,1515.54
9,3,0.0017082606723015674,1492.66
9,4,0.001666488248739365,1456.16
9,5,0.0016650759283583744,1454.93
9,6,0.0014345186436374464,1253.47
9,7,0.0014053436867255181,1227.98
9,8,0.0019771064139049816,1727.58
9,9,0.0021527085564651063,1881.02
9,10,0.001959117587884438,1711.86
9,11,0.002065248858324948,1804.60
9,12,0.0018476327328064723,1614.44
9,13,0.0015678003034191924,1369.93
9,14,0.00222132151883276,1940.97
10,1,0.001749825070436168,1528.98
10,2,0.0017415740654511318,1521.77
10,3,0.00179489604706522,1568.36
10,4,0.0018013470691249872,1574.00
10,5,0.001896750128666795,1657.36
10,6,0.0016158776066677065,1411.94
10,7,0.0015260670287240228,1333.46
10,8,0.0021139968273354783,1847.19
10,9,0.002190154466484621,1913.74
10,10,0.0021236687282054642,1855.64
10,11,0.002043492458664112,1785.58
10,12,0.0018472189623467816,1614.08
10,13,0.0013728298026409705,1199.57
10,14,0.0024785148695076133,2165.70
10,15,0.0033546706841880596,2931.28
10,16,0.0035241969394255285,3079.41
10,17,0.0032837672882796206,2869.33
10,18,0.003290715942467156,2875.40
10,19,0.003640148849143082,3180.73
10,20,0.00339075930147864,2962.81
11,1,0.0017746372472540147,1550.66
11,2,0.0018459927771286811,1613.01
11,3,0.0017987029265489007,1571.69
11,4,0.0015954096333592113,1394.05
11,5,0.0015874376164279386,1387.09
11,6,0.0012809739884850166,1119.30
11,7,0.0011379974844153969,994.37
11,8,0.001782269437499992,1557.33
11,9,0.0018130306265074345,1584.21
11,10,0.001943321487863607,1698.06
11,11,0.001905410273037861,1664.93
11,12,0.001773128271971606,1549.34
11,13,0.0013800569581226437,1205.88
11,14,0.0024144531376895763,2109.73
11,15,0.0030752867759751825,2687.16
11,16,0.003053542588363012,2668.16
11,17,0.002950723842698275,2578.31
11,18,0.0028899048170112555,2525.17
11,19,0.0034256387274546993,2993.29
11,20,0.0035515137823487197,3103.28
12,1,0.0017574408609985456,1535.64
12,2,0.0016419478645555213,1434.72
12,3,0.001534384966786255,1340.73
12,4,0.001627217233172751,1421.85
12,5,0.0017524101062238498,1531.24
12,6,0.0013527031391235714,1181.98
12,7,0.0012298811047989778,1074.66
12,8,0.0018873357506834624,1649.14
12,9,0.0018969638673501437,1657.55
12,10,0.0019744744034983783,1725.28
12,11,0.0018895016058653896,1651.03
12,12,0.0017288117597526905,1510.62
12,13,0.001036687824105945,905.85
12,14,0.0023680797604930526,2069.21
12,15,0.0030790532372655566,2690.45
12,16,0.0029034483608727495,2537.01
12,17,0.0027223366220578147,2378.75
12,18,0.0028827687181697806,2518.94
12,19,0.002897098605739028,2531.46
12,20,0.002653938744946375,2318.99
13,1,0.001893337679269861,1654.38
13,2,0.0016862645670308412,1473.44
13,3,0.0015649411791927356,1367.43
13,4,0.0016637791720575986,1453.79
13,5,0.0017904522649521395,1564.48
13,6,0.001374432828163949,1200.97
13,7,0.0010643206805387865,929.99
13,8,0.0018460489346163534,1613.06
13,9,0.0017097002054139968,1493.92
13,10,0.0018373214325993887,1605.43
13,11,0.001925319850905172,1682.33
13,12,0.0016498936349332563,1441.66
13,13,0.0014413855947595102,1259.47
13,14,0.0022873503148131244,1998.67
13,15,0.0023286308003511538,2034.74
13,16,0.0024521539658267995,2142.67
13,17,0.0023978996317057704,2095.26
13,18,0.0025488708431122115,2227.18
13,19,0.0024478916396078994,2138.94
13,20,0.0023299993617442805,2035.93
14,1,0.0016908541826408123,1477.45
14,2,0.001528764363118081,1335.82
14,3,0.001494775941618236,1306.12
14,4,0.0015923752453303533,1391.40
14,5,0.0016533021900908011,1444.64
14,6,0.0012170515192930804,1063.45
14,7,0.001039956632774217,908.70
14,8,0.0018675766560265086,1631.87
14,9,0.0019304332916961608,1686.79
14,10,0.001757836267661785,1535.98
14,11,0.0014642140701194362,1279.42
14,12,0.0015017933478139846,1312.25
14,13,0.0014265919864613593,1246.54
14,14,0.00190850037444391,1667.63
14,15,0.0016173001922537452,1413.18
14,16,0.0019228623071845122,1680.18
14,17,0.0019752732737785177,1725.98
14,18,0.0030293891268047225,2647.05
14,19,0.002870553113317286,2508.26
14,20,0.003578591419291683,3126.94
